Indivíduo	Região	Instrução
1	Capital	Fundamental
2	Interior	Fundamental
3	Interior	Médio
4	Outra	Fundamental
5	Interior	Médio
6	Outra	Médio
7	Outra	Fundamental
8	Capital	Fundamental
9	Outra	Médio
10	Capital	Fundamental
11	Interior	Fundamental
12	Interior	Superior
13	Interior	Médio
14	Capital	Médio
15	Capital	Médio
16	Outra	Médio
17	Interior	Superior
18	Interior	Médio
19	Interior	Fundamental
20	Outra	Médio
21	Capital	Superior
22	Capital	Superior
23	Outra	Superior
24	Interior	Médio
25	Outra	Fundamental
26	Outra	Médio
27	Capital	Fundamental
28	Outra	Fundamental
29	Outra	Fundamental
30	Capital	Médio
31	Outra	Médio
32	Capital	Médio
33	Interior	Médio
34	Interior	Médio
35	Capital	Médio
36	Outra	Superior
